index,commentaires
1,"Séjour parfait chez Jonathan, il est très ouvert, généreux et accueillant! Je recommande vivement :)"
1,Grand chambre très bien meublé avec une belle balcon ou on peut avoir belle vue. Propriétaire est très gentil. J'ai déjà présenter ce chambre à mes amis. C'est génial !! 
1,Johnatan m'a très bien accueilli. Nous avons même pu finalement ;) partager une journée dans Paris. Il m'a donné tous les conseils et les bons plans pour mon séjour. Bref un grand merci et au plaisir de se revoir !
1,"L'appartement est très confortable, lumineux et calme! A 5 min du métro ligne 12. 
Jonathan est un hôte très sympathique & chaleureux. 
On se sent rapidement chez soi! 
je recommande vivement, très bon rapport qualité/prix!"
1,"Le logement correspondait tout a fait a ce qu'il  y avait de noté sur l annonce, très bien situé a deux pas de la station de métro. L hôte a été  très  sympa en nous laissant déposer  nos bagages tôt  dans la matinée pour que nous puissions profiter pleinement de notre journée, retour tard dans la soirée  l hôte était là  pour nous accueillir sans soucis. Un bon moment partagé  en sa compagnie avec un super petit déjeuner le lendemain  matin!! Merci Jonathan! !"
1,"Séjours au Top, rien à dire "
1,Toujours bien.je recommande
1,Tout était parfait !!
1,Jonathan est un bon hôte et je vraiment recommande rester chez lui.
1,Jonathan a été un excellent hôte une des deux nuits je suis arrivé après minuit - cela n’a pas posé de problèmes pour lui. Son appartement est en très bon état et était parfait pour deux nuits. Hautement recommandable
1,"Parfait. Jonathan est un hôte exceptionnel, très attentif. Il m'a laissé rester un peu plus de temps par rapport à ce qui était prévu."
1,Très bien
1,Une personne  sympathique qui sait mettre les gens à l aise.je recommande.
1,Appart petit mais très propre.
1,Excellent accueil ! Nuit calme et tranquille. Excellente réactivité et communication.
1,Je me sens comme chez moi ici. Merci Jonathan!
1,"Accueil chaleureux,hôte sympathique.Bon rapportqualité-prix."
1,Espace confortable et bien chauffe. Jonathan a ete tres sympa et nous a donne les bons conseils pour visiter Paris
1,"Jonathan est un hôte très gentil et attentionné. L’appartement est situé à environ 30 à 40 min du centre de Paris. Le divan lit est confortable. En bref, c’est un bon rapport qualité prix pour Paris! "
1,"Très cordiale, excellente hospitalité et en plus des bonnes discours avec Jonathan m'on change le WE.
L'appartement étais très propre et il y avez de l'espace pour vivre. 
Franchement top."
1,Merci pour ta gentillesse et ton accueil Jonathan!
1,"Lieu impeccable, facile à trouver, pas trop mal placé, et joli appartement. Un accueil chaleureux, j'invite à choisir ce lieu !"
1,Bien
1,"Très bon accueil et l'hôte est trop gentil. Bien que l'appartement ne soit pas dans la ville de Paris le métro qui n'est pas du tout loin vous permets d'y aller très facilement. L'hôte ne donne aucune clé donc il faut lui dire quand on pense rentrer pour qu'il soit là pour ouvrir la porte. C'était bien, je recommande."
1,"Le lit était très confortable, Jonathan est sympathique et agréable."
1,"Très agréable studio, a côté d'une station de métro. "
1,"C'était une très bon temps pendant mes jours ici. Près de la station de métro, ssez calme et tout équipé pour faire nous-mêmes. Jonathan il a beaucoup de talents qui nous attirent. Je suis très content de l'avoir rencontré. "
1,"Je vous remercie pour toute l'aide  avec les transport en commun - je suis vraiment reconnaissant... Juste que m'ai manqué c'est une photo ensemble autographié, car Jonathan est aussi bien un star du cinéma... Sûrement je vais garder les souvenirs comment une des mes meilleures voyages....jusqu'à la prochaine."
1,Logement correspond à la description ainsi qu'aux photos
1,"Very nice french guy with good attitudes, who will always wants to help you."
1,"Все хорошо. Цена низкая, принял заявку почти сразу. На контакты всегда отвечал"
1,Preocupacion confiable una persona que no se mete en tu privacidad es perfecto con muchos valores RECOMENDABLE 
1,"Very nice, calm and caring person."
1,Sofa was okay to sleep on. Check in was easy
1,ok
1,"Jonathan is a very nice. He is very welcoming, and interesting to talk with. My stay was of only 1 night but I totally recommend him. Plus the place is very luminous and spacious, and i have never slept on a couch so comfy ahah! I recommend!"
1,Jonathan was a wonderful host. He was very accommodating and considerate. He gave quick tips for travel in Paris. My family shared great time with him in his studio. He is a great host and that made our time enjoyable despite any unfortunate incidents. His place is nearer to metro. The place has good security in place. The elevators and all facilities work perfectly. There is a cafe downstairs where you can grab some dinner or drinks. Jonathan is an interesting person as well. He has great stories to listen to.i would recommend his place anytime.
1,"Jonathan é um cara muito legal e atencioso! O apartamento é muito  perto da estação de metrô, embora não tão perto dos pontos turísticos, mas nada que não dê pra chegar de metrô."
1,不错
1,Nickel
1,I changed my mind temporarily so I didn't check in.
1,"A wonderful host! I arrived later than we had planned, and Jonathan waited for me despite his dinner plans."
1,"Amost impossible to sleep because of the mosquitoes. If you travel not in winter, bring with you something really effective"
1,"Really nice place to stay, the host was really friendly and helpful. Even recommended me where to get some breakfast."
1,Super!
1,"Great place, easy to find. Experienced host happy to give recommendations for places to visit"
1,"Great value for money, great host, 100% recommend"
1,Schöne Wohnung am Stadtrand von Paris. Mit der Metro (Linie 12) gut zu erreichen. Jonathan ist ein guter Host mit dem man auch so mal gut quatschen kann. Gerne wieder.
1,Perfect!
1,"Muito bom, recomendo para todos."
1,Justo what I needed for a brief stay in Paris!
1,Wszystko OK
1,"Hice la reserva para la hija de mi pareja en el medio de la cuarentena que afecto a todos los paises por la pandemia, y Jonathan fue sumamente atento con ella, permitiendole ingresar antes y haciéndola sentir como en su casa. El departamento es bello, con todas las comodidades y muy prolijo y limpio. Valoro por sobre todo la calidad como persona de Jonathan en un momento tan difícil para una niña de 19 años que se encontraba sin poder regresar a su país, brindándole calidez de hogar en un país tan lejano. Gracias!"
1,"Jonathon was an amazing host! I got in earlier than check in and he was able to assist me with that no problem. He was very sweet, offered wonderful places to eat for cheap (but delicious!) and visit free museums and such. 

He was very sweet and understanding of me coming in a bit later as I enjoyed roaming at night to experience the Eiffel Tower under the moonlight. Make sure you plan out the metros though! I was silly and ended up walking most of Paris (since I didn’t have WiFi for an Uber). 

The place was as pictured and 30 minutes from the Eiffel Tower. Only five minutes from the metro which is perfect. The café below was a great spot to grab coffee before an adventure. Very local feeling. Felt very safe as a solo female traveler. 

Overall, great experience. I was very happy with my stay even though it was short. Merci beaucoup !"
1,"Una gran persona, puedes hablar con él en español, pero sería mucho si te comunicas con él en inglés, así de paso prácticas para no tener problemas de comunicación en Paris "
1,The place was sparkling clean. Clear instructions were given on how to enter the place and things to use in the house. The host was very flexible with the checkin timing. The host welcomed nicely at the place.
1,"Great location, wonderful host with very convenient local tips."
1,Convenient to get to the center by taking M4. Big plus that I can prepare food and doing laundry. Saved a good amount of money by staying here in Paris.
1,"Jonathan é uma pessoa atenciosa, cordial e está disposto a ajudar. Mesmo com minha dificuldade dentro o idioma, o anfitrião fez o possível para me ajudar e se comunicar.  O apartamento é um loft e você dorme em um sofá cama (como descrito no anúncio) confortável."
1,i really enjoyed my stay at his place. bonus points for him for being a french teacher :)
1,"Es un lugar muy práctico para viajeros independientes, Jonathan tiene todo para tu comodidad si te quieres cocinar algo por tu cuenta. Es una persona muy amable y atento con quien se hospeda. Al inicio me perdí pero sus vecinos muy amablemente me ayudaron a contactarlo. Me herí un dedo y el me proporcionó ayuda. Definitivamente lo recomiendo"
1,Always a pleasure to stay with Jonathan!
1,Jonathan was great to talk to and quick to respond! I had to come check-in a little earlier and he helped me do so with no issues! Definitely recommend.
1,"La habitación no estaba sucia pero no luce como en las fotos, un poco menos acogedor pero el precio lo vale. No incluye el desayuno como dice. En las fotografías se aprecia a ver una cama pero es donde duerme el anfitrión (Jonathan) tú dormirás en un sofá-cama, su cama está junto y se aprecia a escuchar sus ronquidos (no recomendable para los de sueño ligero), para taparte ofreció unas tipo sábanas (no recomendable para los friolentos). Si te quieres bañar y llegas noche, como mi caso, es muy incomodo usarla por el ruido al igual temprano porque el sigue durmiendo, el precio lo vale 100%, y Jonathan es amable. No habla bien el español como lo muestra su descripción."
1,Everything is good
1,침대가 소파 접이식입니다
1,I never recommend
1,Jonathan is very kind and responsive. I felt comfortable and well received with everything I needed.
1,"Adorei o lugar, simples, porém acolhedor, só não tive sorte com o transporte, devido a greve, o que tornou tudo mais longe, mas não é culpa do anfitrião, o Jonathan é super atencioso. Recomendo!"
1,The host is very nice. There was some misunderstanding but he was willing to resolve it by contacting Airbnb. Make sure to read the house description throughly because it’s wordy. Basically you are sharing the studio with the host and you only get the sofa bed to sleep on. It was our fault not reading it carefully before booking. But we still appreciate our stay.
1,It was really bad. Worst.
1,"Jonathan was a very nice body. Though I haven't managed to meet him in person due to our different schedules, he was very helpful helping me with everything I needed. It was pretty easy to check in into his place. The altrimenti Is located around 15-20 minutes walk from the RER line that takes you directly to the airport, so if you don't mind walking is good. The only small thing is that the photos didn't match completly, as the house was clean but a bit messy."
1,Jonathan is a great Hoster and gave me really nice tips of Paris. The location is really good with restaurants and transportation around.
1,Thanks
1,Buen lugar
1,Great place to crash at night. Close to train.
1,"There is a nearby metro (RER) which is good going to the airport. Jonathan was very kind, respectful, and pleasant to talk with. I really enjoyed our conversation. I was traveling as a solo female and felt very comfortable with the shared room. I checked in too early and the apt. wasn’t clean, but after I came back it was very very clean, so don’t be surprised if you check in early too. He made me tea before bed, shared local tips, and helped me rent a car. Thank you Jonathan, best of luck with everything!"
1,The Place is as described... I was close to the metro which means you can reach any place without any problem...
1,Ótimo lugar. Perto de estação de metrô e ponto de ônibus e de conveniência.  Sofá cama realmente confortável. Só não há lugar para guardar bagagem.
1,"Jonathan ha sido muy amable, pero a pesar de ser compartido el apartamento no teníamos ni el sofá cama preparado para dormir. Además, el piso estaba todo desordenado y sucio. No había ni un sitio para dejar nuestras maletas.
Repito, fue amable, pero el espacio para alojarnos era pésimo, desordenado y nada acogedor. 
Su alojamiento no es nada recomendable. Las fotos son engañosas. Se ve una cama que es la suya, la cual los huespedes no pueden usar. Nosotros nos buscamos otro alojamiento."
1,"Es un apartamento muy limpio y organizado, está cerca tanto de una estación de bus como de metro desde el cual se puede llegar fácilmente al centro de la ciudad. Jonathan es muy amable y es agradable platicar con él. Me ha ayudado mucho para  poder usar el transporte y llegar a los atractivos turísticos. También me ha dado recomendaciones de otros lugares no tan conocidos por los turistas y se agradece. En fin, me la he pasado muy bien y recomiendo el lugar :)"
1,"Jonathan es genial, indicaciones precisas, una aventura muy interesante. Saint Denis es un poco apartado del centro pero el metro y las conexiones de Paris solucionan cualquier distancia."
1,Jonathan pretty friendly and calm guy. It was nice to meet him.
1,"人很好,房间很干净,住起来很舒服"
1,"Ich war das zweite mal mit meiner Hündin bei Jonathan und wieder sehr zufrieden. Preis, Sauberkeit, Tipps, Weg zur Metro,  was wir benutzen durften und der Kaffee morgens nicht zu vergessen. Wir werden wieder bei Ihm buchen!"
1,It a great house and has terrace that can see Tour Eiffel and the host was great man
1,Jonathan’s place was really nice. Just a short taxi ride away from the Eiffel Tower. I would recommend to anyone visiting the area!
1,A estadia está em conformidade com o anunciado.
1,"El lugar esta algo retirado del centro de Paris, pero llegas rapido en metro, en general todo bien"
1,"Excelente lugar, cómodo y recomendable. El anfitrión, Jonathan muy gentil y amable."
1,Nice 
1,"Il loft di Jonathan è incredibilmente accogliente e pulito. La casa si trova vicino ad una fermata della metro che in una ventina di minuti arriva a Montmarte e al centro di Parigi. Jonathan è un host fantastico, piacevole, intelligente e accogliente. La sua casa è molto pulita e il divano letto è comodissimo. Jonathan è stato davvero gentile nel venirmi incontro con l’orario di check in e con il darmi dei consigli personalizzati su cosa visitare a Parigi. Se dovessi tornare a Parigi ritornerei sicuramente nel suo alloggio. Merci Jonathan, à bientôt!"
1,"Great value and a lovely view! Very respectful host. 

Definitely recommend!"
1,"Toller Gastgeber! Er verlässt sich auf Einen, lässt einem seinen Freiraum und ist ein sehr guter Gesprächspartner! Mit der U-Bahn und dann ein paar hunderte Meter zu Fuß, erreicht ihr super die Unterkunft."
1,"I only stayed one night however communication was great, Jonathan left keys for me so I could check in early. Apartment is small but right next to a Metro station - Paris is at your doorstep. It was very clean and Jonathan is a great person,
can recommend :)"
1,"It is around 30 mins by metro from the main attractions in Paris. There is a metro station just about 5 mins walking. It is a common place, which means you will share the same room with Jonathan. In general the place is ok, Jonathan is a nice host. Just consider that the checkin is at 8pm and checkout is at 8am. This is because Jonathan’s work schedule."
1,"Die Lage der Unterkunft ist perfekt wenn man tagsüber in der Stadt ist und Abends den Stadtlärm entfliehen will. Man hat einen wunderschönen Ausblick auf die Sacre-Coeur. Besonders ab Abend ein toller Anblick. Der Balkon ist auch sonst sehr gemütlich. Der Check-In verlief problemlos und Jonathan ist da auch sehr flexibel. Jonathan ist sehr nett und hilfsbereit. Er gibt sehr tolle Tipps für Unternehmungen, Essen, Trinkn,....
Die Unterkuft war sehr sauber und gepflegt und das Sofa super bequem."
1,Jonathan was friendly and helpful!
1,Podría ser mejor.
1,"Everything was really good. I meet a really nice person. Good conversation. It was a pity that I couldn't stay longer to know him better. Merci pour tout, monsieur !"
1,"Had a wonderful stay at Jonathan’s flat! It was very clean, everything needed was there, including host himself :) Jonathan was very responsive and communicated a lot with me, he is a guy with good thoughts and healthy life. And was very fun to talk with. Metro was very near and supermarket also! Thank you for your care. Will come next time if I were to visit Paris again. 
끈뗴 한꾺뿐뜰(튺히 여썽뿐뜰)  씨냬예써는 떄쭝꾜통 싸오씨뿐 쩡또 껄려써 화이트예폘이라떤까.. 썌뼊까찌 놀따까 뜰어오끼옌 이민짜뜰또 많이 싸는 동네인뗴따까 찌하철 쫑찪엮이라 쫌 무써워요. 끄껀 꼬려하쎠야 할뜼!"
1,It was very nice to meet Johnathan. He shared a lot of things with me.
1,Jonathan is such a great host. He makes you feel at home and provides some local tips. 100% recommended
1,"Jonathan is a very Nice host. He gives some good advice were to go in terms of restaurants, bars and city highlights. The appartment is located next to a metro station. The appartment wasnt as organized as in the pictures, however still clean though. If you dont mind sharing the room with the owner, this is the place for you."
1,"Local extremamente limpo,  metrô e ônibus proximos e sofá cama confortável."
1,O apartamento é muito bom! Fácil acesso ao metrô e com um ótimo custo benéfico. Sem dúvidas indico o lugar!
1,Jonathan turned out to be incredibly friendly and open minded guy. And free parking nearby was a huge plus for us guys traveling all the way from Amsterdam. We would highly recommend this apartment!
1,A stay that's accomodating between Paris and the airport.
1,"The place was nice, easy access to metro station. Jonathan gave good tips about Paris."
1,"Jonathan’s place was nice. He was welcoming and kind enough to tell extra tips about paris and help me. Also his place is large and has a balcony, close to bus station. But I recommend you to take the bus to get to home, not by walk cause it’s not that safe to walk to at night. Overall, if you want to stay at paris at amazingly cheap price this is the place."
1,"Jonathan was a very lovely host, his flat is nice and tidy - I really enjoyed my short stay!"
1,"Jonathan was very friendly and helpful. The place almost the same as my expectation. Only 5mins walk from tram station, very convenient!"
1,"I great place for spend night, Jonathan is a nice host."
1,"Тихий квартал, рядом метро. Джонатан оказался очень гостеприимным человеком. Диван удобный. За такие деньги в центре Парижа просто невозможно найти жилье лучше. 
Спасибо, Джонатан!"
1,"Jonathan is a amazing guy. Me and my boyfriend loved him.
He was so gentle, gave us tips of places to go, how to come home after the subway closes, good talk. No complains at all.
His house is beautiful and clean. If we came back to Paris, I would definitely be here again."
1,Jonathan is very nice. He provided me some tipps about the trip in Paris. His appartment is comfortable.
1,"The place is nice and really clean, the host is really friendly and if you need help he’s always there to help, he’s very laidback and likes get to know his guests, I recommend this place 100%."
1,Very attentive.  Your space is neat and organized.  Thank you Jonathan for a great stay.  I hope to return soon.
1,"Great place to stay. The apartment is 5 minutes walk from the métro, and in neighbourhood with new buildings. There was no trouble walking from the métro even at night.
The apartment was as described and there was a partition between the sofa where I slept & Jonathan's private space, it was comfortable."
1,Es hat mir super gefallen!
1,Sehr freundlich
1,It's good place and nice people!
1,"Jonathan was very friendly and inviting. When he say's it is a shared space in an apartment, that is quite literally what he means. It is a single room studio apartment so please bare that in mind when you are booking because you will be sleeping in the same room as Jonathan. It's not a problem at all, it just might come as a surprise otherwise!"
1,"Jonathan’s apartment was very clean, comfortable and a peaceful place to come to after arriving in Paris. He and his partner were very friendly and welcoming, offering me coffee and directing me to a lovely nearby cafe where I had dinner. On top of everything it was very affordable. Merci Jonathan!"
1,If you’re trying to save money but still want to stay somewhere relatively central then this is a great option. The apartment is a 5 minute walk from the metro which takes you to the city centre. Jonathan was a great host and answered any questions I had quickly too. The apartment has everything you need and the “bed” is surprisingly comfortable too!
1,"The place looked bigger in the pic., but it was very clean and secured.!  He is a very Good Host.!! I recommend him.!!!"
1,"I stayed 5 nights and it was very comfortable. Jonathan is very kind. He gave me a lot of information and conversation.I had wonderful days thanks to him.
The subway station is nearby and you can go to the Musee d'Orsay(Solferino station) and Concorde without a change.
I highly recommend this room:)"
1,"Een goed verblijf gehad, Jonathan is heel vriendelijk en behulpzaam."
1,Great modern place conveniently located close to cdg airport train line and with metro connections to the rest of the city. Jonathan is an excellent host and I enjoyed my stay in his apartment.
1,"Great host. A good place to stay on a budget - close to the metro (end of the line) 
Basically it’s a couch in the kitchen area (but it works ok), with use of amenities."
1,"The perfect place for spending a night. It's an open plan apartment, with a pull-out-couch with sheets, pillow and blankets. Towels are provided if you need any and the host has some great local tips!"
1,I would definitely stay here again!! It is so easy to get in and out
1,"John its a pretty cool guy. He hosted me with all the atention an information that i needed to meet Paris.

His apartment is very cosy. I felt like at home.

I really recomend."
1,"Es muy bonito pero si es más reducido que en las fotos, la atención fue muy buena y muy buenos anfitriones!"
